Month,Day,Year,N,dhwP,sd.dhwP,Date,TH
8,18,2004,10,0.443889618,0.423731709,8/18/04 20:00,0
8,25,2004,10,0.50735817,0.540227827,8/25/04 20:00,0
9,1,2004,10,0.603917885,0.576744805,9/1/04 20:00,0
9,8,2004,10,0.759385681,0.574013886,9/8/04 20:00,0
9,15,2004,10,0.680033875,0.481215232,9/15/04 20:00,0
9,22,2004,10,0.754996681,0.57228424,9/22/04 20:00,0
9,29,2004,10,0.671906662,0.575854753,9/29/04 20:00,0
10,6,2004,10,0.629810333,0.59225259,10/6/04 20:00,0
10,13,2004,10,0.671612358,0.655470542,10/13/04 20:00,0
10,20,2004,10,1.306992913,0.55536529,10/20/04 20:00,0
10,27,2004,10,1.721141625,0.459466332,10/27/04 20:00,0
11,3,2004,10,2.27074852,0.514610175,11/3/04 19:00,0
11,10,2004,10,2.334729385,0.336642855,11/10/04 19:00,0
11,17,2004,10,2.823377991,0.508309442,11/17/04 19:00,0
11,24,2004,10,2.791987038,0.457772655,11/24/04 19:00,0
12,1,2004,10,2.814647102,0.543491832,12/1/04 19:00,0
12,8,2004,10,3.019407654,0.677255658,12/8/04 19:00,0
12,15,2004,10,3.100400925,0.887759775,12/15/04 19:00,0
12,22,2004,10,3.423749161,1.011545227,12/22/04 19:00,0
12,29,2004,10,3.816913414,0.970031596,12/29/04 19:00,0
1,5,2005,10,3.896714592,0.908172786,1/5/05 19:00,7.014088265
1,12,2005,10,3.421567345,0.755714598,1/12/05 19:00,0
1,19,2005,10,3.283984757,1.021581247,1/19/05 19:00,0
1,26,2005,10,3.027670479,0.836416217,1/26/05 19:00,0
2,2,2005,10,3.034890747,0.879875607,2/2/05 19:00,0
2,9,2005,10,2.48277359,0.630489143,2/9/05 19:00,0
2,16,2005,10,2.393577767,0.65118373,2/16/05 19:00,0
2,23,2005,10,2.204361343,0.696491438,2/23/05 19:00,0
3,2,2005,10,1.983395767,0.592776419,3/2/05 19:00,0
3,9,2005,10,1.813702392,0.484923612,3/9/05 19:00,0
3,16,2005,10,1.481354141,0.440640779,3/16/05 19:00,0
3,23,2005,10,1.081660843,0.393160003,3/23/05 19:00,0
3,30,2005,10,0.938061333,0.545501723,3/30/05 19:00,0
4,6,2005,10,0.988212204,0.810863494,4/6/05 20:00,0
4,13,2005,10,0.707937622,0.654624275,4/13/05 20:00,0
4,20,2005,10,0.409144974,0.477428989,4/20/05 20:00,0
4,27,2005,10,0.491589546,0.606041002,4/27/05 20:00,0
5,4,2005,10,0.657530785,0.627900167,5/4/05 20:00,0
5,11,2005,10,0.665590477,0.639964613,5/11/05 20:00,0
5,18,2005,10,0.778054619,0.636079369,5/18/05 20:00,0
5,25,2005,10,0.827316284,0.65395574,5/25/05 20:00,0
6,1,2005,10,0.823844528,0.626562764,6/1/05 20:00,0
6,8,2005,10,0.870871544,0.631433659,6/8/05 20:00,0
6,15,2005,10,0.870871544,0.631433659,6/15/05 20:00,0
6,22,2005,10,0.852663231,0.610630469,6/22/05 20:00,0
6,29,2005,10,0.651454544,0.411101708,6/29/05 20:00,0
7,6,2005,10,0.651454544,0.411101708,7/6/05 20:00,0
7,13,2005,10,0.677162933,0.427141875,7/13/05 20:00,0
7,20,2005,10,0.462517166,0.35354348,7/20/05 20:00,0
7,27,2005,10,0.305251503,0.374786206,7/27/05 20:00,0
8,3,2005,10,0.297191811,0.377263665,8/3/05 20:00,0
8,10,2005,10,0.184727669,0.220977989,8/10/05 20:00,0
8,17,2005,10,0.135466004,0.226210679,8/17/05 20:00,0
8,24,2005,10,0.090586472,0.159095213,8/24/05 20:00,0
8,31,2005,10,0.043559456,0.064442261,8/31/05 20:00,0
9,7,2005,10,0.043559456,0.064442261,9/7/05 20:00,0
9,14,2005,10,0.043559456,0.064442261,9/14/05 20:00,0
9,21,2005,10,0.034383965,0.047360837,9/21/05 20:00,0
9,28,2005,10,0.034383965,0.047360837,9/28/05 20:00,0
10,5,2005,10,0.008675575,0.027434578,10/5/05 20:00,0
10,12,2005,10,0.008675575,0.027434578,10/12/05 20:00,0
10,19,2005,10,0,0,10/19/05 20:00,0
10,26,2005,10,0.113384247,0.239146876,10/26/05 20:00,0
11,2,2005,10,0.113384247,0.239146876,11/2/05 19:00,0
11,9,2005,10,0.113384247,0.239146876,11/9/05 19:00,0
11,16,2005,10,0.113384247,0.239146876,11/16/05 19:00,0
11,23,2005,10,0.122059822,0.236131199,11/23/05 19:00,0
11,30,2005,10,0.124735642,0.234827439,11/30/05 19:00,0
12,7,2005,10,0.170157242,0.288743672,12/7/05 19:00,0
12,14,2005,10,0.170157242,0.288743672,12/14/05 19:00,0
12,21,2005,10,0.170157242,0.288743672,12/21/05 19:00,0
12,28,2005,10,0.170157242,0.288743672,12/28/05 19:00,0.170157242
1,4,2006,10,0.170157242,0.288743672,1/4/06 19:00,0
1,11,2006,10,0.170157242,0.288743672,1/11/06 19:00,0
1,18,2006,10,0.056772995,0.090687331,1/18/06 19:00,0
1,25,2006,10,0.056772995,0.090687331,1/25/06 19:00,0
2,1,2006,10,0.056772995,0.090687331,2/1/06 19:00,0
2,8,2006,10,0.056772995,0.090687331,2/8/06 19:00,0
2,15,2006,10,0.04809742,0.091645016,2/15/06 19:00,0
2,22,2006,10,0.0454216,0.092721614,2/22/06 19:00,0
3,1,2006,10,0,0,3/1/06 19:00,0
3,8,2006,10,0,0,3/8/06 19:00,0
3,15,2006,10,0,0,3/15/06 19:00,0
3,22,2006,10,0,0,3/22/06 19:00,0
3,29,2006,10,0,0,3/29/06 19:00,0
4,5,2006,10,0,0,4/5/06 20:00,0
4,12,2006,10,0,0,4/12/06 20:00,0
4,19,2006,10,0,0,4/19/06 20:00,0
4,26,2006,10,0,0,4/26/06 20:00,0
5,3,2006,10,0.019088554,0.060363309,5/3/06 20:00,0
5,10,2006,10,0.019088554,0.060363309,5/10/06 20:00,0
5,17,2006,10,0.019088554,0.060363309,5/17/06 20:00,0
5,24,2006,10,0.032969093,0.062986787,5/24/06 20:00,0
5,31,2006,10,0.057320404,0.104923745,5/31/06 20:00,0
6,7,2006,10,0.057320404,0.104923745,6/7/06 20:00,0
6,14,2006,10,0.057320404,0.104923745,6/14/06 20:00,0
6,21,2006,10,0.359877586,0.512231736,6/21/06 20:00,0
6,28,2006,10,0.359877586,0.512231736,6/28/06 20:00,0
7,5,2006,10,0.359877586,0.512231736,7/5/06 20:00,0
7,12,2006,10,0.359877586,0.512231736,7/12/06 20:00,0
7,19,2006,10,0.359877586,0.512231736,7/19/06 20:00,0
7,26,2006,10,0.378345299,0.46724809,7/26/06 20:00,0
8,2,2006,10,0.378345299,0.46724809,8/2/06 20:00,0
8,9,2006,10,0.378345299,0.46724809,8/9/06 20:00,0
8,16,2006,10,0.382173157,0.453870073,8/16/06 20:00,0
8,23,2006,10,0.473407936,0.623376839,8/23/06 20:00,0
8,30,2006,10,0.483083534,0.61591879,8/30/06 20:00,0
9,6,2006,10,0.58696537,0.655867576,9/6/06 20:00,0
9,13,2006,10,0.318622017,0.335458918,9/13/06 20:00,0
9,20,2006,10,0.351011658,0.319906271,9/20/06 20:00,0
9,27,2006,10,0.351011658,0.319906271,9/27/06 20:00,0
10,4,2006,10,0.377363014,0.307280954,10/4/06 20:00,0
10,11,2006,10,0.438840675,0.380083888,10/11/06 20:00,0
10,18,2006,10,0.565674019,0.425767306,10/18/06 20:00,0
10,25,2006,10,1.000417328,0.79326911,10/25/06 20:00,0
11,1,2006,10,1.458111954,0.792869085,11/1/06 19:00,0
11,8,2006,10,1.595706177,0.817890058,11/8/06 19:00,0
11,15,2006,10,1.935991287,0.724297968,11/15/06 19:00,0
11,22,2006,10,2.433612824,0.731228065,11/22/06 19:00,0
11,29,2006,10,2.66360836,0.868060552,11/29/06 19:00,0
12,6,2006,10,3.896548462,0.922819254,12/6/06 19:00,0
12,13,2006,10,4.466018677,1.055024428,12/13/06 19:00,0
12,20,2006,10,4.75693264,1.119847753,12/20/06 19:00,0
12,27,2006,10,4.921195602,1.181726692,12/27/06 19:00,0
1,3,2007,10,4.900717926,1.156902782,1/3/07 19:00,5.828128513
1,10,2007,10,4.782736778,1.034038376,1/10/07 19:00,0
1,17,2007,10,4.347993469,1.021438305,1/17/07 19:00,0
1,24,2007,10,3.890298843,0.902763871,1/24/07 19:00,0
1,31,2007,10,3.734996224,0.909767069,1/31/07 19:00,0
2,7,2007,10,3.279125023,0.792770623,2/7/07 19:00,0
2,14,2007,10,2.771827889,0.669138125,2/14/07 19:00,0
2,21,2007,10,2.527714729,0.647767922,2/21/07 19:00,0
2,28,2007,10,1.260560799,0.467624056,2/28/07 19:00,0
3,7,2007,10,0.658700943,0.503067806,3/7/07 19:00,0
3,14,2007,10,0.36778698,0.421194444,3/14/07 20:00,0
3,21,2007,10,0.177172661,0.283692293,3/21/07 20:00,0
3,28,2007,10,0.136172676,0.253341361,3/28/07 20:00,0
4,4,2007,10,0.089764214,0.209783276,4/4/07 20:00,0
4,11,2007,10,0.089764214,0.209783276,4/11/07 20:00,0
4,18,2007,10,0.089764214,0.209783276,4/18/07 20:00,0
4,25,2007,10,0.089764214,0.209783276,4/25/07 20:00,0
5,2,2007,10,0.089764214,0.209783276,5/2/07 20:00,0
5,9,2007,10,0.209633446,0.322162256,5/9/07 20:00,0
5,16,2007,10,0.472366333,0.215169549,5/16/07 20:00,0
5,23,2007,10,0.537570953,0.191050314,5/23/07 20:00,0
5,30,2007,10,0.668097877,0.361390169,5/30/07 20:00,0
6,6,2007,10,0.83977108,0.463777811,6/6/07 20:00,0
6,13,2007,10,0.967240143,0.629524393,6/13/07 20:00,0
6,20,2007,10,0.967240143,0.629524393,6/20/07 20:00,0
6,27,2007,10,0.967240143,0.629524393,6/27/07 20:00,0
7,4,2007,10,0.967240143,0.629524393,7/4/07 20:00,1.019186703
7,11,2007,10,0.967240143,0.629524393,7/11/07 20:00,0
7,18,2007,10,0.967769241,0.630710494,7/18/07 20:00,0
7,25,2007,10,0.967769241,0.630710494,7/25/07 20:00,0
8,1,2007,10,0.847900009,0.577175441,8/1/07 20:00,0
8,8,2007,10,0.495402908,0.685204921,8/8/07 20:00,0
8,15,2007,10,0.455666924,0.535655735,8/15/07 20:00,0
8,22,2007,10,0.325139999,0.530829057,8/22/07 20:00,0
8,29,2007,10,0.153466797,0.241580469,8/29/07 20:00,0
9,5,2007,10,0.025997734,0.080370194,9/5/07 20:00,0
9,12,2007,10,0.025997734,0.080370194,9/12/07 20:00,0
9,19,2007,10,0.025997734,0.080370194,9/19/07 20:00,0
9,26,2007,10,0.025997734,0.080370194,9/26/07 20:00,0
10,3,2007,10,0.025997734,0.080370194,10/3/07 20:00,0
10,10,2007,10,0.025468636,0.080538897,10/10/07 20:00,0
10,17,2007,10,0.043937111,0.138941344,10/17/07 20:00,0
10,24,2007,10,0.043937111,0.138941344,10/24/07 20:00,0
10,31,2007,10,0.043937111,0.138941344,10/31/07 20:00,0
11,7,2007,10,0.018468475,0.058402447,11/7/07 19:00,0
11,14,2007,10,0.018468475,0.058402447,11/14/07 19:00,0
11,21,2007,10,0.018468475,0.058402447,11/21/07 19:00,0
11,28,2007,10,0.018468475,0.058402447,11/28/07 19:00,0
12,5,2007,10,0.018468475,0.058402447,12/5/07 19:00,0
12,12,2007,10,0.018468475,0.058402447,12/12/07 19:00,0
12,19,2007,10,0.018468475,0.058402447,12/19/07 19:00,0
12,26,2007,10,0.018468475,0.058402447,12/26/07 19:00,0
1,2,2008,10,0.018468475,0.058402447,1/2/08 19:00,0
1,9,2008,10,0,0,1/9/08 19:00,0
1,16,2008,10,0,0,1/16/08 19:00,0
1,23,2008,10,0,0,1/23/08 19:00,0
1,30,2008,10,0,0,1/30/08 19:00,0
2,6,2008,10,0,0,2/6/08 19:00,0
2,13,2008,10,0,0,2/13/08 19:00,0
2,20,2008,10,0,0,2/20/08 19:00,0
2,27,2008,10,0,0,2/27/08 19:00,0
3,5,2008,10,0,0,3/5/08 19:00,0
3,12,2008,10,0,0,3/12/08 20:00,0
3,19,2008,10,0,0,3/19/08 20:00,0
3,26,2008,10,0,0,3/26/08 20:00,0
4,2,2008,10,0,0,4/2/08 20:00,0
4,9,2008,10,0,0,4/9/08 20:00,0
4,16,2008,10,0,0,4/16/08 20:00,0
4,23,2008,10,0,0,4/23/08 20:00,0
4,30,2008,10,0,0,4/30/08 20:00,0
5,7,2008,10,0,0,5/7/08 20:00,0
5,14,2008,10,0,0,5/14/08 20:00,0
5,21,2008,10,0,0,5/21/08 20:00,0
5,28,2008,10,0,0,5/28/08 20:00,0
6,4,2008,10,0,0,6/4/08 20:00,0
6,11,2008,10,0,0,6/11/08 20:00,0
6,18,2008,10,0,0,6/18/08 20:00,0
6,25,2008,10,0,0,6/25/08 20:00,0
7,2,2008,10,0,0,7/2/08 20:00,0
7,9,2008,10,0,0,7/9/08 20:00,0
7,16,2008,10,0,0,7/16/08 20:00,0
7,23,2008,10,0,0,7/23/08 20:00,0
7,30,2008,10,0,0,7/30/08 20:00,0
8,6,2008,10,0,0,8/6/08 20:00,0
8,13,2008,10,0,0,8/13/08 20:00,0
8,20,2008,10,0,0,8/20/08 20:00,0
8,27,2008,10,0,0,8/27/08 20:00,0
9,3,2008,10,0,0,9/3/08 20:00,0
9,10,2008,10,0,0,9/10/08 20:00,0
9,17,2008,10,0,0,9/17/08 20:00,0
9,24,2008,10,0,0,9/24/08 20:00,0
10,1,2008,10,0,0,10/1/08 20:00,0
10,8,2008,10,0,0,10/8/08 20:00,0
10,15,2008,10,0,0,10/15/08 20:00,0
10,22,2008,10,0,0,10/22/08 20:00,0
10,29,2008,10,0,0,10/29/08 20:00,0
11,5,2008,10,0,0,11/5/08 19:00,0
11,12,2008,10,0,0,11/12/08 19:00,0
11,19,2008,10,0,0,11/19/08 19:00,0
11,26,2008,10,0,0,11/26/08 19:00,0
12,3,2008,10,0,0,12/3/08 19:00,0
12,10,2008,10,0,0,12/10/08 19:00,0
12,17,2008,10,0,0,12/17/08 19:00,0
12,24,2008,10,0,0,12/24/08 19:00,0
12,31,2008,10,0,0,12/31/08 19:00,0
1,7,2009,10,0,0,1/7/09 19:00,0
1,14,2009,10,0,0,1/14/09 19:00,0
1,21,2009,10,0,0,1/21/09 19:00,0
1,28,2009,10,0,0,1/28/09 19:00,0
2,4,2009,10,0,0,2/4/09 19:00,0
2,11,2009,10,0,0,2/11/09 19:00,0
2,18,2009,10,0,0,2/18/09 19:00,0
2,25,2009,10,0,0,2/25/09 19:00,0
3,4,2009,10,0,0,3/4/09 19:00,0
3,11,2009,10,0,0,3/11/09 20:00,0
3,18,2009,10,0,0,3/18/09 20:00,0
3,25,2009,10,0,0,3/25/09 20:00,0
4,1,2009,10,0,0,4/1/09 20:00,0
4,8,2009,10,0,0,4/8/09 20:00,0
4,15,2009,10,0.03670845,0.116082312,4/15/09 20:00,0
4,22,2009,10,0.03670845,0.116082312,4/22/09 20:00,0
4,29,2009,10,0.03670845,0.116082312,4/29/09 20:00,0
5,6,2009,10,0.03670845,0.116082312,5/6/09 20:00,0
5,13,2009,10,0.084416962,0.178166864,5/13/09 20:00,0
5,20,2009,10,0.149149704,0.1709111,5/20/09 20:00,0
5,27,2009,10,0.348122215,0.326660118,5/27/09 20:00,0
6,3,2009,10,0.348122215,0.326660118,6/3/09 20:00,0
6,10,2009,10,0.382122231,0.369004746,6/10/09 20:00,0
6,17,2009,10,0.393798065,0.370856389,6/17/09 20:00,0
6,24,2009,10,0.432298088,0.444752227,6/24/09 20:00,0
7,1,2009,10,0.509854317,0.393101987,7/1/09 20:00,0
7,8,2009,10,0.481854248,0.363132756,7/8/09 20:00,0
7,15,2009,10,0.481854248,0.363132756,7/15/09 20:00,0
7,22,2009,10,0.481854248,0.363132756,7/22/09 20:00,0
7,29,2009,10,0.511823273,0.346681609,7/29/09 20:00,0
8,5,2009,10,0.464114761,0.245213587,8/5/09 20:00,0
8,12,2009,10,0.428939056,0.258904602,8/12/09 20:00,0
8,19,2009,10,0.229966545,0.228010351,8/19/09 20:00,0
8,26,2009,10,0.255642319,0.224521858,8/26/09 20:00,0
9,2,2009,10,0.221642304,0.162811087,9/2/09 20:00,0
9,9,2009,10,0.285379791,0.168235487,9/9/09 20:00,0
9,16,2009,10,0.246879769,0.186017767,9/16/09 20:00,0
9,23,2009,10,0.16932354,0.140888101,9/23/09 20:00,0
9,30,2009,10,0.246172142,0.17582318,9/30/09 20:00,0
10,7,2009,10,0.376644707,0.317259471,10/7/09 20:00,0
10,14,2009,10,0.617298699,0.415240949,10/14/09 20:00,0
10,21,2009,10,1.172141457,0.296554437,10/21/09 20:00,0
10,28,2009,10,1.891493988,0.688765414,10/28/09 20:00,0
11,4,2009,10,2.501267624,0.8151744,11/4/09 19:00,0
11,11,2009,10,3.492755127,1.148885967,11/11/09 19:00,0
11,18,2009,10,4.534108544,1.683636522,11/18/09 19:00,0
11,25,2009,10,5.294821358,1.761260896,11/25/09 19:00,0
12,2,2009,10,5.89841671,2.118321034,12/2/09 19:00,0
12,9,2009,10,6.605711937,2.121169089,12/9/09 19:00,0
12,16,2009,10,7.503630447,2.273773596,12/16/09 19:00,0
12,23,2009,10,8.213372231,2.503810289,12/23/09 19:00,0
12,30,2009,10,8.801768684,2.668886799,12/30/09 19:00,0
1,6,2010,10,8.96886406,2.716083188,1/6/10 19:00,0
1,13,2010,10,9.332922364,2.601459527,1/13/10 19:00,0
1,20,2010,10,9.817561912,2.274727632,1/20/10 19:00,15.18322315
1,27,2010,10,9.693102455,2.469395077,1/27/10 19:00,0
2,3,2010,10,8.853076745,2.441615209,2/3/10 19:00,0
2,10,2010,10,7.85833168,1.734618986,2/10/10 19:00,0
2,17,2010,10,7.097618866,1.615602319,2/17/10 19:00,0
2,24,2010,10,6.436895371,1.481231724,2/24/10 19:00,0
3,3,2010,10,5.835240555,1.433200879,3/3/10 19:00,0
3,10,2010,10,5.061571312,1.306186366,3/10/10 19:00,0
3,17,2010,10,4.41223278,1.220307507,3/17/10 20:00,0
3,24,2010,10,3.774902344,1.247872646,3/24/10 20:00,0
3,31,2010,10,3.410375023,1.318429008,3/31/10 20:00,0
4,7,2010,10,2.726303673,1.378691336,4/7/10 20:00,0
4,14,2010,10,1.788497353,1.235368419,4/14/10 20:00,0
4,21,2010,10,1.478338623,1.248209743,4/21/10 20:00,0
4,28,2010,10,1.63591919,1.004963811,4/28/10 20:00,0
5,5,2010,10,1.790581513,1.00806668,5/5/10 20:00,0
5,12,2010,10,1.981569481,0.946704159,5/12/10 20:00,0
5,19,2010,10,2.078918076,0.878963495,5/19/10 20:00,0
5,26,2010,10,2.05247879,0.687503989,5/26/10 20:00,0
6,2,2010,10,1.932286644,0.655690569,6/2/10 20:00,0
6,9,2010,10,1.79041481,0.671093421,6/9/10 20:00,0
6,16,2010,10,1.711344719,0.593908254,6/16/10 20:00,0
6,23,2010,10,1.668122673,0.563052332,6/23/10 20:00,0
6,30,2010,10,1.403323937,0.411016287,6/30/10 20:00,0
